start,end,capacities,unit costs,,,,a1,b1
a78,b63,3609,10,,,,a2,b2
a23,b318,1751,13,,,,a3,b3
a94,b230,8174,37,,,,a4,b4
a97,b200,800,13,,,,a5,b5
a50,b238,2725,43,,,,a6,b6
a26,b49,2639,50,,,,a7,b7
a66,b214,9971,11,,,,a8,b8
a80,b378,2767,31,,,,a9,b9
a69,b198,2597,48,,,,a10,b10
a28,b193,2338,44,,,,a11,b11
a15,b221,3113,30,,,,a12,b12
a60,b365,6518,33,,,,a13,b13
a82,b33,4327,45,,,,a14,b14
a48,b324,4626,35,,,,a15,b15
a81,b77,3047,38,,,,a16,b16
a52,b207,6044,47,,,,a17,b17
a88,b219,4481,38,,,,a18,b18
a52,b362,5358,21,,,,a19,b19
a38,b121,8689,26,,,,a20,b20
a61,b210,6696,20,,,,a21,b21
a62,b264,9072,33,,,,a22,b22
a75,b204,2039,40,,,,a23,b23
a55,b9,9174,36,,,,a24,b24
a12,b61,365,32,,,,a25,b25
a1,b337,5557,16,,,,a26,b26
a23,b379,4421,10,,,,a27,b27
a1,b257,4669,19,,,,a28,b28
a39,b102,8412,27,,,,a29,b29
a36,b17,971,31,,,,a30,b30
a81,b18,1961,49,,,,a31,b31
a42,b360,9249,14,,,,a32,b32
a84,b163,6417,34,,,,a33,b33
a84,b220,5478,26,,,,a34,b34
a97,b351,5957,14,,,,a35,b35
a27,b88,8123,50,,,,a36,b36
a34,b100,387,17,,,,a37,b37
a36,b155,8103,35,,,,a38,b38
a12,b246,4138,20,,,,a39,b39
a14,b349,7022,19,,,,a40,b40
a89,b122,7655,15,,,,a41,b41
a8,b323,4103,46,,,,a42,b42
a84,b390,795,25,,,,a43,b43
a46,b50,3225,18,,,,a44,b44
a72,b282,8035,20,,,,a45,b45
a79,b30,8957,23,,,,a46,b46
a31,b285,6239,29,,,,a47,b47
a99,b53,9938,12,,,,a48,b48
a62,b90,6963,23,,,,a49,b49
a78,b219,9636,44,,,,a50,b50
a91,b345,3735,45,,,,a51,b51
a21,b288,6228,19,,,,a52,b52
a89,b282,7063,18,,,,a53,b53
a26,b46,2892,10,,,,a54,b54
a68,b328,2751,25,,,,a55,b55
a99,b377,7157,50,,,,a56,b56
a58,b310,1301,42,,,,a57,b57
a33,b238,6692,20,,,,a58,b58
a15,b45,9178,37,,,,a59,b59
a23,b286,1962,22,,,,a60,b60
a12,b356,1440,40,,,,a61,b61
a36,b115,8716,34,,,,a62,b62
a30,b93,7157,40,,,,a63,b63
a20,b349,9927,45,,,,a64,b64
a48,b258,1537,47,,,,a65,b65
a3,b338,7384,38,,,,a66,b66
a94,b354,9446,35,,,,a67,b67
a92,b175,6821,26,,,,a68,b68
a93,b57,9044,37,,,,a69,b69
a4,b358,5360,36,,,,a70,b70
a98,b162,6787,45,,,,a71,b71
a85,b252,6702,46,,,,a72,b72
a96,b163,5556,48,,,,a73,b73
a10,b123,1199,34,,,,a74,b74
a57,b51,7953,24,,,,a75,b75
a10,b140,2390,20,,,,a76,b76
a2,b104,462,21,,,,a77,b77
a80,b160,6290,40,,,,a78,b78
a19,b117,1925,11,,,,a79,b79
a68,b237,3123,32,,,,a80,b80
a77,b196,5735,50,,,,a81,b81
a7,b296,4423,21,,,,a82,b82
a62,b18,5680,22,,,,a83,b83
a70,b192,6508,22,,,,a84,b84
a96,b320,7612,28,,,,a85,b85
a75,b285,5730,22,,,,a86,b86
a18,b185,2402,26,,,,a87,b87
a9,b155,6995,18,,,,a88,b88
a36,b71,2753,42,,,,a89,b89
a51,b157,6645,28,,,,a90,b90
a99,b76,3569,38,,,,a91,b91
a91,b302,9264,48,,,,a92,b92
a29,b48,6753,12,,,,a93,b93
a59,b92,3926,30,,,,a94,b94
a74,b411,9542,31,,,,a95,b95
a43,b259,7527,17,,,,a96,b96
a68,b145,1820,38,,,,a97,b97
a76,b54,2890,48,,,,a98,b98
a39,b202,8731,37,,,,a99,b99
a10,b231,4143,26,,,,a100,b100
a99,b126,3467,50,,,,,b101
a82,b335,4851,43,,,,,b102
a43,b192,9930,36,,,,,b103
a24,b312,3349,12,,,,,b104
a5,b389,8365,16,,,,,b105
a12,b380,7066,24,,,,,b106
a34,b325,323,33,,,,,b107
a43,b198,434,30,,,,,b108
a5,b210,8189,36,,,,,b109
a17,b30,9606,39,,,,,b110
a49,b109,6493,22,,,,,b111
a49,b185,7343,41,,,,,b112
a56,b258,9725,26,,,,,b113
a24,b228,3395,27,,,,,b114
a79,b380,3269,25,,,,,b115
a48,b328,2362,26,,,,,b116
a57,b105,1689,47,,,,,b117
a52,b404,2847,23,,,,,b118
a85,b349,5028,28,,,,,b119
a57,b140,4040,30,,,,,b120
a34,b62,9937,41,,,,,b121
a10,b41,9692,17,,,,,b122
a37,b343,1414,37,,,,,b123
a97,b349,1248,45,,,,,b124
a78,b396,8884,26,,,,,b125
a29,b396,8685,32,,,,,b126
a65,b234,4857,47,,,,,b127
a58,b72,2370,29,,,,,b128
a18,b92,2316,47,,,,,b129
a13,b75,6481,35,,,,,b130
a65,b259,1518,24,,,,,b131
a62,b360,4198,16,,,,,b132
a42,b172,8765,49,,,,,b133
a90,b302,8299,33,,,,,b134
a49,b277,1661,46,,,,,b135
a5,b98,4234,21,,,,,b136
a53,b113,4407,29,,,,,b137
a39,b122,909,10,,,,,b138
a78,b7,6983,26,,,,,b139
a5,b298,1659,33,,,,,b140
a80,b37,9957,48,,,,,b141
a86,b19,1532,41,,,,,b142
a21,b344,6917,38,,,,,b143
a42,b365,2460,28,,,,,b144
a82,b377,7617,18,,,,,b145
a17,b72,9194,23,,,,,b146
a71,b181,1649,31,,,,,b147
a64,b116,456,24,,,,,b148
a96,b63,6726,30,,,,,b149
a21,b380,9390,23,,,,,b150
a26,b392,4877,27,,,,,b151
a88,b246,6391,39,,,,,b152
a35,b253,6244,35,,,,,b153
a58,b67,7281,44,,,,,b154
a93,b309,8716,34,,,,,b155
a59,b372,2948,22,,,,,b156
a97,b304,2369,45,,,,,b157
a72,b351,4176,26,,,,,b158
a49,b300,5614,40,,,,,b159
a84,b300,7022,35,,,,,b160
a5,b280,7169,45,,,,,b161
a39,b99,8945,16,,,,,b162
a46,b30,1038,24,,,,,b163
a62,b396,5313,33,,,,,b164
a38,b326,6893,30,,,,,b165
a4,b294,8655,45,,,,,b166
a56,b53,7837,47,,,,,b167
a2,b151,5145,28,,,,,b168
a73,b212,8735,14,,,,,b169
a87,b265,2911,39,,,,,b170
a55,b45,6698,42,,,,,b171
a71,b252,9950,37,,,,,b172
a30,b4,8250,19,,,,,b173
a10,b368,5055,40,,,,,b174
a20,b370,6247,10,,,,,b175
a72,b409,2028,29,,,,,b176
a71,b11,6130,11,,,,,b177
a46,b51,3019,11,,,,,b178
a62,b88,9384,14,,,,,b179
a16,b46,273,29,,,,,b180
a80,b114,2475,37,,,,,b181
a91,b256,649,44,,,,,b182
a86,b89,427,16,,,,,b183
a20,b325,6668,15,,,,,b184
a97,b181,9568,25,,,,,b185
a10,b174,2206,45,,,,,b186
a36,b276,6762,36,,,,,b187
a10,b236,1855,16,,,,,b188
a70,b338,5055,25,,,,,b189
a52,b328,9295,22,,,,,b190
a17,b277,7963,48,,,,,b191
